country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","18-03-2026 16:00:00",28.623763,77.287209,NH3,7,9,8
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","18-03-2026 16:00:00",28.674045,77.131023,NO2,20,63,45
India,Delhi,Delhi,"Pusa, Delhi - DPCC","18-03-2026 16:00:00",28.639652,77.146275,NO2,41,129,88
India,Delhi,Delhi,"Pusa, Delhi - DPCC","18-03-2026 16:00:00",28.639652,77.146275,OZONE,3,307,307
India,Delhi,Delhi,"Pusa, Delhi - IMD","18-03-2026 16:00:00",28.636110,77.173332,NO2,60,166,116
India,Delhi,Delhi,"Pusa, Delhi - IMD","18-03-2026 16:00:00",28.636110,77.173332,CO,38,101,92
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","18-03-2026 16:00:00",28.563262,77.186937,CO,35,84,61
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","18-03-2026 16:00:00",28.60909,77.0325413,PM10,162,304,241
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","18-03-2026 16:00:00",28.60909,77.0325413,CO,34,74,54
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","18-03-2026 16:00:00","28.594004 ","76.909423 ",OZONE,10,198,198
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","18-03-2026 16:00:00",28.570173,76.933762,OZONE,4,294,294
India,Delhi,Delhi,"Narela, Delhi - DPCC","18-03-2026 16:00:00",28.822836,77.101981,PM2.5,68,365,215
India,Delhi,Delhi,"Narela, Delhi - DPCC","18-03-2026 16:00:00",28.822836,77.101981,SO2,11,35,20
India,Delhi,Delhi,"Narela, Delhi - DPCC","18-03-2026 16:00:00",28.822836,77.101981,OZONE,8,164,164
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","18-03-2026 16:00:00",28.567890,77.250515,NO2,36,82,56
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","18-03-2026 16:00:00",28.6573814,77.1585447,CO,41,114,93
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","18-03-2026 16:00:00",28.5627763,77.1180053,CO,28,62,48
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","18-03-2026 16:00:00","28.493624 ","77.201159 ",PM2.5,106,323,240
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","18-03-2026 16:00:00","28.493624 ","77.201159 ",SO2,57,78,64
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","18-03-2026 16:00:00",28.6811736,77.3025234,PM10,153,241,173
India,Delhi,Delhi,"ITO, Delhi - CPCB","18-03-2026 16:00:00",28.628624,77.241060,PM10,83,151,114
India,Delhi,Delhi,"ITO, Delhi - CPCB","18-03-2026 16:00:00",28.628624,77.241060,SO2,25,43,34
India,Delhi,Delhi,"JNU, Delhi - DPCC","18-03-2026 16:00:00","28.540721 ","77.168544 ",PM2.5,72,254,158
India,Delhi,Delhi,"JNU, Delhi - DPCC","18-03-2026 16:00:00","28.540721 ","77.168544 ",CO,108,116,112
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","18-03-2026 16:00:00",21.224231,81.408350,CO,1,34,11
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","18-03-2026 16:00:00",22.118125,83.140608,PM2.5,13,78,42
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","18-03-2026 16:00:00",22.118125,83.140608,OZONE,81,85,82
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","18-03-2026 16:00:00",22.368195,82.746431,PM10,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","18-03-2026 16:00:00",22.368195,82.746431,SO2,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","18-03-2026 16:00:00",22.348441,82.549611,PM2.5,48,181,99
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","18-03-2026 16:00:00",22.348441,82.549611,SO2,4,19,12
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","18-03-2026 16:00:00",22.348441,82.549611,CO,14,44,26
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","18-03-2026 16:00:00",28.5918245,77.2273074,CO,38,82,44
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","18-03-2026 16:00:00",28.611281,77.237738,CO,48,99,65
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","18-03-2026 16:00:00",28.3419248,77.319699,SO2,3,5,4
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","18-03-2026 16:00:00",28.3419248,77.319699,OZONE,6,6,6
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","18-03-2026 16:00:00",28.806223,76.141105,NH3,8,16,10
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","18-03-2026 16:00:00",28.593883,76.270653,CO,10,64,35
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","18-03-2026 16:00:00",28.206800,76.799700,PM10,100,313,187
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","18-03-2026 16:00:00",28.206800,76.799700,NH3,10,28,20
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","18-03-2026 16:00:00",28.206800,76.799700,CO,13,34,23
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-03-2026 16:00:00",28.39072,77.30059,PM10,130,139,134
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-03-2026 16:00:00",28.39072,77.30059,CO,10,14,12
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","18-03-2026 16:00:00",28.376058,77.315741,PM2.5,226,349,321
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","18-03-2026 16:00:00",28.4501238,77.0263051,NO2,9,45,26
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","18-03-2026 16:00:00",28.4501238,77.0263051,SO2,2,8,5
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","18-03-2026 16:00:00",28.4501238,77.0263051,OZONE,4,31,24
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","18-03-2026 16:00:00",29.140560,75.744941,CO,28,44,29
India,Haryana,Jind,"Police Lines, Jind - HSPCB","18-03-2026 16:00:00",29.307814,76.337619,NO2,27,44,35
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","18-03-2026 16:00:00",29.8006,76.4155,PM2.5,46,96,70
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","18-03-2026 16:00:00",29.8006,76.4155,CO,8,33,17
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","18-03-2026 16:00:00",29.8006,76.4155,OZONE,5,18,15
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","18-03-2026 16:00:00",29.695300,77.002700,NO2,6,7,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","18-03-2026 16:00:00",29.966942,76.875879,PM2.5,70,171,106
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","18-03-2026 16:00:00",29.966942,76.875879,NO2,4,4,4
India,Delhi,Delhi,"Rohini, Delhi - DPCC","18-03-2026 16:00:00",28.732528,77.119920,NO2,20,52,34
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","18-03-2026 16:00:00",28.6514781,77.1473105,PM10,131,200,162
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","18-03-2026 16:00:00",28.5504249,77.2159377,PM10,136,235,177
